"Link","Year","rank","School","City","State","Division","Level","Conference","Conf_Div","Power_Conference"
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2012,NA,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2013,141,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2014,138,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2015,268,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2016,198,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2017,204,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2018,NA,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2019,232,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2010,NA,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2011,NA,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2012,NA,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2013,149,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2014,NA,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2015,165,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2016,196,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2017,195,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2018,154,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/132/651/4651132.png",2019,202,"Alcorn State","Lorman","Mississippi",1,"FCS","FCS",NA,0
